ZONE,ENTITY,SUB_ENTITY,RAW_FILENAME,FILE_SIZE
Europe,FR-001,Antony-PF,3b0f1261/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_120152_572.zip,2427
Europe,FR-001,Antony-PF,182d72cb/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_04_JobState_28213.log/20200704_200239_884.zip,2425
Europe,FR-001,Antony-PF,276820cf/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_150155_889.zip,2422
Europe,FR-001,Antony-PF,8a15a130/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_091250_884.zip,2421
Europe,FR-001,Antony-PF,ec2db247/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/Status/2020_07_01_MachineState_28266.log/20200702_014451_886.zip,2418
Europe,FR-001,Antony-PF,1ff979ef/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_095828_106.zip,2413
Europe,FR-001,Antony-PF,135338f3/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_04_JobState_28239.log/20200704_150852_884.zip,2399
Europe,FR-001,Antony-PF,9bd1aa4e/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_211246_884.zip,2394
Europe,FR-001,Antony-PF,de574da2/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_215806_884.zip,2385
Europe,FR-001,Antony-PF,f87aaed0/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_02_JobState_28180.log/20200702_174647_817.zip,2359
Europe,FR-001,Antony-PF,20a2a29e/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_01_JobState_28180.log/20200702_005810_884.zip,2323
Europe,FR-001,Antony-PF,9361f164/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_155836_884.zip,2319
Europe,FR-001,Antony-PF,d39a0a30/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_040201_877.zip,2318
Europe,FR-001,Antony-PF,fe83b20e/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_070137_572.zip,2290
